milestone_id,project_id,title,description,funding_amount,due_date,submitted_at,status,voting_session_id
30550ce6-288c-4fcf-9bb4-da99fdd63dd8,a1689ef5-1b44-4855-ba36-fbff764bd2c8,Milestone 1,Often PM notice chair north family.,33662.5,2025-04-27 20:57:52,,0,655921f9-07b2-4e9c-9e5e-ebc314ea2328
f2819123-f35e-47bd-b60c-9de4997d8e1f,a1689ef5-1b44-4855-ba36-fbff764bd2c8,Milestone 2,Thought notice society task well three board.,33662.5,2025-05-27 20:57:52,,0,78658817-63ae-416e-a425-9f646adda8bd
e2d6ae55-c49c-4544-9472-5f47e9022634,a1689ef5-1b44-4855-ba36-fbff764bd2c8,Milestone 3,Family center wide identify nice.,33662.5,2025-06-26 20:57:52,,0,be11f09a-a1a7-4e66-aee8-92be26c3ee04
985715e0-7d9a-4d35-bd51-39f4ceca6c9f,4a961735-ba1b-4de8-8ff1-fb7e8ce615bd,Milestone 1,Imagine record wrong list.,11872.25,2025-12-03 17:36:34,,0,48c4ae64-b77e-4aca-aa1d-85d13e52b8f0
94f4ccdb-358f-40e2-bf30-148d82bc35d2,4a961735-ba1b-4de8-8ff1-fb7e8ce615bd,Milestone 2,Policy lead individual through politics community.,11872.25,2026-01-02 17:36:34,,0,fac881e6-fd0e-46ad-abe2-228a3d5a3682
3399b825-a8ba-4cfd-9f17-6c73635433df,4a961735-ba1b-4de8-8ff1-fb7e8ce615bd,Milestone 3,Finally wall right mind determine.,11872.25,2026-02-01 17:36:34,,0,00462a64-6162-4ec4-85ab-c5e68ec54869
733e0027-494e-46b1-9b7e-a2deae3b8173,4a961735-ba1b-4de8-8ff1-fb7e8ce615bd,Milestone 4,Traditional practice together minute price night admit standard.,11872.25,2026-03-03 17:36:34,,0,4e755773-15ed-4e9e-bcf6-3a1757342ca2
3de6c286-9f71-4886-881e-839a50decd60,a2f8dfa3-35f0-4f6d-8c30-6dec49bad1a3,Milestone 1,Stock today whether thought brother.,7704.74,2025-09-10 12:34:04,,0,8beca3c0-1918-4045-b11a-c6015d2ce7d7
0fe388ee-5810-4d1f-929a-161c9048950c,a2f8dfa3-35f0-4f6d-8c30-6dec49bad1a3,Milestone 2,Total not its air.,7704.74,2025-10-10 12:34:04,,0,9883d011-a4f9-4633-9300-4e7916f424a8
ba86f9dc-decf-4b87-bd88-1f18c845887a,a2f8dfa3-35f0-4f6d-8c30-6dec49bad1a3,Milestone 3,Image several name chair.,7704.74,2025-11-09 12:34:04,,0,dfe69c9e-fa24-4458-9856-96ac1c6cdb2c
9597045d-4ea5-4121-95e4-41fc4640ef00,551d2098-e835-4af3-9236-a8e3f19865e1,Milestone 1,Behavior nearly of general piece.,7692.35,2025-06-26 16:09:56,,0,aa0d7176-7639-4875-b271-22c0bdfc6ebf
3a9b894e-3c3f-436e-bf06-7a7dcab2bc55,551d2098-e835-4af3-9236-a8e3f19865e1,Milestone 2,Address loss international public rate.,7692.35,2025-07-26 16:09:56,,0,eab7f901-dd7a-4cbd-acec-a60a8bc2da71
a1dac5b0-b192-4ea2-86b9-62cce6a46e8f,551d2098-e835-4af3-9236-a8e3f19865e1,Milestone 3,Short southern finish front.,7692.35,2025-08-25 16:09:56,,0,d01d3f5e-0b03-4612-8652-6050af5279fa
9ff8d43a-20c6-44d6-abdd-3e912b141387,551d2098-e835-4af3-9236-a8e3f19865e1,Milestone 4,Edge court environment must.,7692.35,2025-09-24 16:09:56,,0,b9b8b2c0-d02e-4a34-8016-ffb0565a7841
30b5d756-d416-47ba-9f57-2b0bb37f0b02,3cebd948-18c3-4d13-ac25-746c7f072a3d,Milestone 1,Onto significant sure evening together.,3401.14,2025-12-04 11:44:23,,0,6fa2d3e3-b821-4bde-9d8d-4d9e64e9d828
